,year,created_at,original,edited,tweet_without_stopwords,text_token,text_string,text_string_fdist,text_string_excluded,text_string_lem,tmp_lem,is_equal,neg,neu,pos,compound,sentiment,pandemic,category
32872,2021,2021-05-08,"Global majors bet on hydrogen motoring
Daimler Truck &amp; Volvo ink fuel-cells JV for long-haul trucks https://t.co/bGo0CIF66V
Toyota's hydrogen IC engine https://t.co/5KwDLfRY8F
FEV hydrogen ICE https://t.co/8jMyXTFqU3
Bosch-Qingling Motors JV for fuel cells https://t.co/Uz7mZ3p1pY https://t.co/PYb11JXead",global majors bet on hydrogen motoring daimler truck  amp  volvo ink fuel cells jv for long haul trucks  toyota s hydrogen ic engine  fev hydrogen ice  bosch qingling motors jv for fuel cells  ,global majors bet hydrogen motoring daimler truck amp volvo ink fuel cells jv long haul trucks toyota hydrogen ic engine fev hydrogen ice bosch qingling motors jv fuel cells ,"['global', 'majors', 'bet', 'hydrogen', 'motoring', 'daimler', 'truck', 'amp', 'volvo', 'ink', 'fuel', 'cells', 'jv', 'long', 'haul', 'trucks', 'toyota', 'hydrogen', 'ic', 'engine', 'fev', 'hydrogen', 'ice', 'bosch', 'qingling', 'motors', 'jv', 'fuel', 'cells']",global majors bet hydrogen motoring daimler truck amp volvo ink fuel cells long haul trucks toyota hydrogen engine fev hydrogen ice bosch qingling motors fuel cells,global majors bet hydrogen motoring daimler truck amp volvo ink fuel cells long haul trucks toyota hydrogen engine fev hydrogen ice bosch qingling motors fuel cells,global majors bet hydrogen motoring daimler truck amp volvo ink jv long haul trucks toyota hydrogen ic engine fev hydrogen ice bosch qingling motors jv,global majors bet hydrogen motoring daimler truck amp volvo ink fuel cells long haul trucks toyota hydrogen engine fev hydrogen ice bosch qingling motors fuel cells,global majors bet hydrogen motoring daimler truck amp volvo ink jv long haul trucks toyota hydrogen ic engine fev hydrogen ice bosch qingling motors jv,True,0.0,1.0,0.0,0.0,neutral,True,hydrogen
32873,2021,2021-05-08,"Global majors bet on hydrogen motoring
Daimler Truck &amp; Volvo ink fuel-cells JV for long-haul trucks https://t.co/bGo0CIF66V
Toyota's hydrogen IC engine https://t.co/5KwDLfRY8F
FEV hydrogen ICE https://t.co/8jMyXTFqU3
Bosch-Qingling Motors JV for fuel cells https://t.co/Uz7mZ3p1pY https://t.co/PYb11JXead",global majors bet on hydrogen motoring daimler truck  amp  volvo ink fuel cells jv for long haul trucks  toyota s hydrogen ic engine  fev hydrogen ice  bosch qingling motors jv for fuel cells  ,global majors bet hydrogen motoring daimler truck amp volvo ink fuel cells jv long haul trucks toyota hydrogen ic engine fev hydrogen ice bosch qingling motors jv fuel cells ,"['global', 'majors', 'bet', 'hydrogen', 'motoring', 'daimler', 'truck', 'amp', 'volvo', 'ink', 'fuel', 'cells', 'jv', 'long', 'haul', 'trucks', 'toyota', 'hydrogen', 'ic', 'engine', 'fev', 'hydrogen', 'ice', 'bosch', 'qingling', 'motors', 'jv', 'fuel', 'cells']",global majors bet hydrogen motoring daimler truck amp volvo ink fuel cells long haul trucks toyota hydrogen engine fev hydrogen ice bosch qingling motors fuel cells,global majors bet hydrogen motoring daimler truck amp volvo ink fuel cells long haul trucks toyota hydrogen engine fev hydrogen ice bosch qingling motors fuel cells,global majors bet hydrogen motoring daimler truck amp volvo ink jv long haul trucks toyota hydrogen ic engine fev hydrogen ice bosch qingling motors jv,global majors bet hydrogen motoring daimler truck amp volvo ink fuel cells long haul trucks toyota hydrogen engine fev hydrogen ice bosch qingling motors fuel cells,global majors bet hydrogen motoring daimler truck amp volvo ink jv long haul trucks toyota hydrogen ic engine fev hydrogen ice bosch qingling motors jv,True,0.0,1.0,0.0,0.0,neutral,True,hydrogen
33068,2021,2021-05-17,"JCB digs up a greener future with hydrogen engines 
Powering the machine is a new hydrogen engine developed by the company, which it predicts could be a better alternative to diesel than electric batteries or hydrogen fuel cells for its heavy machinery. https://t.co/pvypAKkVeY",jcb digs up a greener future with hydrogen engines  powering the machine is a new hydrogen engine developed by the company  which it predicts could be a better alternative to diesel than electric batteries or hydrogen fuel cells for its heavy machinery  ,jcb digs greener future hydrogen engines powering machine new hydrogen engine developed company predicts could better alternative diesel electric batteries hydrogen fuel cells heavy machinery ,"['jcb', 'digs', 'greener', 'future', 'hydrogen', 'engines', 'powering', 'machine', 'new', 'hydrogen', 'engine', 'developed', 'company', 'predicts', 'could', 'better', 'alternative', 'diesel', 'electric', 'batteries', 'hydrogen', 'fuel', 'cells', 'heavy', 'machinery']",jcb digs greener future hydrogen engines powering machine new hydrogen engine developed company predicts could better alternative diesel electric batteries hydrogen fuel cells heavy machinery,jcb digs greener future hydrogen engines powering machine new hydrogen engine developed company predicts could better alternative diesel electric batteries hydrogen fuel cells heavy machinery,jcb digs greener future hydrogen engines powering machine hydrogen engine developed company predicts could better alternative diesel batteries hydrogen heavy machinery,jcb digs greener future hydrogen engines powering machine new hydrogen engine developed company predicts could better alternative diesel electric batteries hydrogen fuel cells heavy machinery,jcb digs greener future hydrogen engines powering machine hydrogen engine developed company predicts could better alternative diesel batteries hydrogen heavy machinery,True,0.0,0.892,0.108,0.4404,positive,True,electric
33124,2021,2021-05-19,"The hydrogen engine's big advantages, explained JCB innovation chief Tim Burnhope, are that it can be speedily and affordably brought to production, while existing ICE know-how and infrastructure will remain relevant. https://t.co/6LNuJT7iuX #hydrogen",the hydrogen engine s big advantages  explained jcb innovation chief tim burnhope  are that it can be speedily and affordably brought to production  while existing ice know how and infrastructure will remain relevant   , hydrogen engine big advantages explained jcb innovation chief tim burnhope speedily affordably brought production existing ice know infrastructure remain relevant ,"['hydrogen', 'engine', 'big', 'advantages', 'explained', 'jcb', 'innovation', 'chief', 'tim', 'burnhope', 'speedily', 'affordably', 'brought', 'production', 'existing', 'ice', 'know', 'infrastructure', 'remain', 'relevant']",hydrogen engine big advantages explained jcb innovation chief tim burnhope speedily affordably brought production existing ice know infrastructure remain relevant,hydrogen engine big advantages explained jcb innovation chief tim brought production existing ice know infrastructure remain relevant,hydrogen engine big advantages explained jcb innovation chief tim burnhope speedily affordably brought production existing ice know infrastructure remain relevant,hydrogen engine big advantages explained jcb innovation chief tim brought production existing ice know infrastructure remain relevant,hydrogen engine big advantages explained jcb innovation chief tim burnhope speedily affordably brought production existing ice know infrastructure remain relevant,True,0.0,0.746,0.254,0.6249,positive,True,hydrogen
33125,2021,2021-05-19,"Totally behind the JCB direct burn hydrogen engine - IMHO battery power / hydrogen fuel cell are not a solution for any high power operation = haulage, construction or agriculture

https://t.co/U3Jj3Gqo2j",totally behind the jcb direct burn hydrogen engine   imho battery power   hydrogen fuel cell are not a solution for any high power operation   haulage  construction or agriculture  ,totally behind jcb direct burn hydrogen engine imho battery power hydrogen fuel cell solution high power operation haulage construction agriculture ,"['totally', 'behind', 'jcb', 'direct', 'burn', 'hydrogen', 'engine', 'imho', 'battery', 'power', 'hydrogen', 'fuel', 'cell', 'solution', 'high', 'power', 'operation', 'haulage', 'construction', 'agriculture']",totally behind jcb direct burn hydrogen engine imho battery power hydrogen fuel cell solution high power operation haulage construction agriculture,totally behind jcb direct burn hydrogen engine imho battery power hydrogen fuel cell solution high power operation haulage construction agriculture,totally behind jcb direct burn hydrogen engine imho power hydrogen solution high power operation haulage construction agriculture,totally behind jcb direct burn hydrogen engine imho battery power hydrogen fuel cell solution high power operation haulage construction agriculture,totally behind jcb direct burn hydrogen engine imho power hydrogen solution high power operation haulage construction agriculture,True,0.0,0.892,0.108,0.3182,positive,True,hydrogen
35056,2021,2021-07-10,"@renaultgroup Whilst Electric Platforms or even retrofit ICE Platforms= Renault expect to have your plans disrupted - by a low cost Hydrogen engine generator - which does H2 fuel onboard EV 
Batteries minimalised - H2 Fuel Cells too expensive Both rely on fuel or energy supply", whilst electric platforms or even retrofit ice platforms  renault expect to have your plans disrupted   by a low cost hydrogen engine generator   which does h2 fuel onboard ev  batteries minimalised   h2 fuel cells too expensive both rely on fuel or energy supply, whilst electric platforms even retrofit ice platforms renault expect plans disrupted low cost hydrogen engine generator h2 fuel onboard ev batteries minimalised h2 fuel cells expensive rely fuel energy supply,"['whilst', 'electric', 'platforms', 'even', 'retrofit', 'ice', 'platforms', 'renault', 'expect', 'plans', 'disrupted', 'low', 'cost', 'hydrogen', 'engine', 'generator', 'h2', 'fuel', 'onboard', 'ev', 'batteries', 'minimalised', 'h2', 'fuel', 'cells', 'expensive', 'rely', 'fuel', 'energy', 'supply']",whilst electric platforms even retrofit ice platforms renault expect plans disrupted low cost hydrogen engine generator fuel onboard batteries minimalised fuel cells expensive rely fuel energy supply,whilst electric platforms even retrofit ice platforms renault expect plans disrupted low cost hydrogen engine generator fuel onboard batteries fuel cells expensive rely fuel energy supply,whilst platforms even retrofit ice platforms renault expect plans disrupted low cost hydrogen engine generator h2 onboard ev batteries minimalised h2 expensive rely energy supply,whilst electric platforms even retrofit ice platforms renault expect plans disrupted low cost hydrogen engine generator fuel onboard batteries fuel cells expensive rely fuel energy supply,whilst platforms even retrofit ice platforms renault expect plans disrupted low cost hydrogen engine generator h2 onboard ev batteries minimalised h2 expensive rely energy supply,True,0.074,0.851,0.074,0.0,neutral,True,electric
35153,2021,2021-07-14,@964_Richard @irenegarth1946 @AlanPavelin @BorisJohnson Volvo and Daimler are working on liquid hydrogen engines for HGVs. They have been trialling hydrogen fuel cells for lifting equipment for a while now. It’s an exciting development and I think that it’s going to be the future of transport,    volvo and daimler are working on liquid hydrogen engines for hgvs  they have been trialling hydrogen fuel cells for lifting equipment for a while now  it s an exciting development and i think that it s going to be the future of transport, volvo daimler working liquid hydrogen engines hgvs trialling hydrogen fuel cells lifting equipment exciting development think going future transport,"['volvo', 'daimler', 'working', 'liquid', 'hydrogen', 'engines', 'hgvs', 'trialling', 'hydrogen', 'fuel', 'cells', 'lifting', 'equipment', 'exciting', 'development', 'think', 'going', 'future', 'transport']",volvo daimler working liquid hydrogen engines hgvs trialling hydrogen fuel cells lifting equipment exciting development think going future transport,volvo daimler working liquid hydrogen engines hgvs trialling hydrogen fuel cells lifting equipment exciting development think going future transport,volvo daimler working liquid hydrogen engines hgvs trialling hydrogen lifting equipment exciting development think going future transport,volvo daimler working liquid hydrogen engines hgvs trialling hydrogen fuel cells lifting equipment exciting development think going future transport,volvo daimler working liquid hydrogen engines hgvs trialling hydrogen lifting equipment exciting development think going future transport,True,0.0,0.849,0.151,0.4939,positive,True,hydrogen
35162,2021,2021-07-14,@964_Richard @irenegarth1946 @AlanPavelin @BorisJohnson Volvo and Daimler are working on liquid hydrogen engines for HGVs. They have been trialling hydrogen fuel cells for lifting equipment for a while now. It’s an exciting development and I think that it’s going to be the future of transport,    volvo and daimler are working on liquid hydrogen engines for hgvs  they have been trialling hydrogen fuel cells for lifting equipment for a while now  it s an exciting development and i think that it s going to be the future of transport, volvo daimler working liquid hydrogen engines hgvs trialling hydrogen fuel cells lifting equipment exciting development think going future transport,"['volvo', 'daimler', 'working', 'liquid', 'hydrogen', 'engines', 'hgvs', 'trialling', 'hydrogen', 'fuel', 'cells', 'lifting', 'equipment', 'exciting', 'development', 'think', 'going', 'future', 'transport']",volvo daimler working liquid hydrogen engines hgvs trialling hydrogen fuel cells lifting equipment exciting development think going future transport,volvo daimler working liquid hydrogen engines hgvs trialling hydrogen fuel cells lifting equipment exciting development think going future transport,volvo daimler working liquid hydrogen engines hgvs trialling hydrogen lifting equipment exciting development think going future transport,volvo daimler working liquid hydrogen engines hgvs trialling hydrogen fuel cells lifting equipment exciting development think going future transport,volvo daimler working liquid hydrogen engines hgvs trialling hydrogen lifting equipment exciting development think going future transport,True,0.0,0.849,0.151,0.4939,positive,True,hydrogen
35567,2021,2021-07-25,"@HydrogenAlex @WeatherProf @nynjpaweather JCB are developing hydrogen IC engines, their data should be available. They are taking a pragmatic approach to their sector which simply won’t work with batteries and fuel cells. Batteries too heavy, fuel cells to delicate in the harsh environments their vehicles operate in",   jcb are developing hydrogen ic engines  their data should be available  they are taking a pragmatic approach to their sector which simply won t work with batteries and fuel cells  batteries too heavy  fuel cells to delicate in the harsh environments their vehicles operate in, jcb developing hydrogen ic engines data available taking pragmatic approach sector simply work batteries fuel cells batteries heavy fuel cells delicate harsh environments vehicles operate ,"['jcb', 'developing', 'hydrogen', 'ic', 'engines', 'data', 'available', 'taking', 'pragmatic', 'approach', 'sector', 'simply', 'work', 'batteries', 'fuel', 'cells', 'batteries', 'heavy', 'fuel', 'cells', 'delicate', 'harsh', 'environments', 'vehicles', 'operate']",jcb developing hydrogen engines data available taking pragmatic approach sector simply work batteries fuel cells batteries heavy fuel cells delicate harsh environments vehicles operate,jcb developing hydrogen engines data available taking approach sector simply work batteries fuel cells batteries heavy fuel cells harsh environments vehicles operate,jcb developing hydrogen ic engines data available taking pragmatic approach sector simply work batteries batteries heavy delicate harsh environments vehicles operate,jcb developing hydrogen engines data available taking approach sector simply work batteries fuel cells batteries heavy fuel cells harsh environments vehicles operate,jcb developing hydrogen ic engines data available taking pragmatic approach sector simply work batteries batteries heavy delicate harsh environments vehicles operate,True,0.121,0.879,0.0,-0.4404,negative,True,hydrogen
35650,2021,2021-07-27,"@mwt2008 JCB isn't the only one. Cummins also claims a near-zero NOx hydrogen engine.

https://t.co/JDZnIy3nyP", jcb isn t the only one  cummins also claims a near zero nox hydrogen engine   , jcb one cummins also claims near zero nox hydrogen engine ,"['jcb', 'one', 'cummins', 'also', 'claims', 'near', 'zero', 'nox', 'hydrogen', 'engine']",jcb one cummins also claims near zero nox hydrogen engine,jcb one cummins also claims near zero nox hydrogen engine,jcb one cummins also claims near zero nox hydrogen engine,jcb one cummins also claims near zero nox hydrogen engine,jcb one cummins also claims near zero nox hydrogen engine,True,0.0,1.0,0.0,0.0,neutral,True,hydrogen
35651,2021,2021-07-27,@_hypx There is 1 prototype hydrogen engine design that JCB claim has lower NOx emissions than the latest Diesel engines. It has not been independently verified / tested. All previous H2 engines have suffered from high NOx emissions. It’s the reason BMW ceased development of its H2 ICE, there is 1 prototype hydrogen engine design that jcb claim has lower nox emissions than the latest diesel engines  it has not been independently verified   tested  all previous h2 engines have suffered from high nox emissions  it s the reason bmw ceased development of its h2 ice, 1 prototype hydrogen engine design jcb claim lower nox emissions latest diesel engines independently verified tested previous h2 engines suffered high nox emissions reason bmw ceased development h2 ice,"['1', 'prototype', 'hydrogen', 'engine', 'design', 'jcb', 'claim', 'lower', 'nox', 'emissions', 'latest', 'diesel', 'engines', 'independently', 'verified', 'tested', 'previous', 'h2', 'engines', 'suffered', 'high', 'nox', 'emissions', 'reason', 'bmw', 'ceased', 'development', 'h2', 'ice']",prototype hydrogen engine design jcb claim lower nox emissions latest diesel engines independently verified tested previous engines suffered high nox emissions reason bmw ceased development ice,prototype hydrogen engine design jcb claim lower nox emissions latest diesel engines independently verified tested previous engines suffered high nox emissions reason bmw ceased development ice,1 prototype hydrogen engine design jcb claim lower nox emissions latest diesel engines independently verified tested previous h2 engines suffered high nox emissions reason bmw ceased development h2 ice,prototype hydrogen engine design jcb claim lower nox emissions latest diesel engines independently verified tested previous engines suffered high nox emissions reason bmw ceased development ice,1 prototype hydrogen engine design jcb claim lower nox emissions latest diesel engines independently verified tested previous h2 engines suffered high nox emissions reason bmw ceased development h2 ice,True,0.184,0.816,0.0,-0.6597,negative,True,hydrogen
35652,2021,2021-07-27,@_hypx Far far far less than the hydrogen ICE JCB. I wonder why Toyota really struggled to get the NOx emissions down with their hydrogen engine. https://t.co/h2nLtKuIik, far far far less than the hydrogen ice jcb  i wonder why toyota really struggled to get the nox emissions down with their hydrogen engine  , far far far less hydrogen ice jcb wonder toyota really struggled get nox emissions hydrogen engine ,"['far', 'far', 'far', 'less', 'hydrogen', 'ice', 'jcb', 'wonder', 'toyota', 'really', 'struggled', 'get', 'nox', 'emissions', 'hydrogen', 'engine']",far far far less hydrogen ice jcb wonder toyota really struggled get nox emissions hydrogen engine,far far far less hydrogen ice jcb wonder toyota really get nox emissions hydrogen engine,far far far less hydrogen ice jcb wonder toyota really struggled get nox emissions hydrogen engine,far far far less hydrogen ice jcb wonder toyota really get nox emissions hydrogen engine,far far far less hydrogen ice jcb wonder toyota really struggled get nox emissions hydrogen engine,True,0.0,1.0,0.0,0.0,neutral,True,hydrogen
35918,2021,2021-08-04,@stuartjeffery Jcb are now manufacturing hydrogen  engined plant machinery. Battery and electric is currently very floored due to the battery production process. Hydrogen is the way forward, jcb are now manufacturing hydrogen  engined plant machinery  battery and electric is currently very floored due to the battery production process  hydrogen is the way forward, jcb manufacturing hydrogen engined plant machinery battery electric currently floored due battery production process hydrogen way forward,"['jcb', 'manufacturing', 'hydrogen', 'engined', 'plant', 'machinery', 'battery', 'electric', 'currently', 'floored', 'due', 'battery', 'production', 'process', 'hydrogen', 'way', 'forward']",jcb manufacturing hydrogen engined plant machinery battery electric currently floored due battery production process hydrogen way forward,jcb manufacturing hydrogen engined plant machinery battery electric currently due battery production process hydrogen way forward,jcb manufacturing hydrogen engined plant machinery currently floored due production process hydrogen way forward,jcb manufacturing hydrogen engined plant machinery battery electric currently due battery production process hydrogen way forward,jcb manufacturing hydrogen engined plant machinery currently floored due production process hydrogen way forward,True,0.0,1.0,0.0,0.0,neutral,True,electric
35935,2021,2021-08-05,"According to Lord Bamford of JCB the price of copper has doubled in 1 year. In an interview on Harry’s Garage about replacing Diesel engines with hydrogen engines. Hydrogen engine, not fuel cell, costs a similar price to a Diesel https://t.co/CZwa62DFZZ @iancollinsuk @talkradio",according to lord bamford of jcb the price of copper has doubled in 1 year  in an interview on harry s garage about replacing diesel engines with hydrogen engines  hydrogen engine  not fuel cell  costs a similar price to a diesel   ,according lord bamford jcb price copper doubled 1 year interview harry garage replacing diesel engines hydrogen engines hydrogen engine fuel cell costs similar price diesel ,"['according', 'lord', 'bamford', 'jcb', 'price', 'copper', 'doubled', '1', 'year', 'interview', 'harry', 'garage', 'replacing', 'diesel', 'engines', 'hydrogen', 'engines', 'hydrogen', 'engine', 'fuel', 'cell', 'costs', 'similar', 'price', 'diesel']",according lord bamford jcb price copper doubled year interview harry garage replacing diesel engines hydrogen engines hydrogen engine fuel cell costs similar price diesel,according lord bamford jcb price copper doubled year interview harry garage replacing diesel engines hydrogen engines hydrogen engine fuel cell costs similar price diesel,according lord bamford jcb price copper doubled 1 year interview harry garage replacing diesel engines hydrogen engines hydrogen engine costs similar price diesel,according lord bamford jcb price copper doubled year interview harry garage replacing diesel engines hydrogen engines hydrogen engine fuel cell costs similar price diesel,according lord bamford jcb price copper doubled 1 year interview harry garage replacing diesel engines hydrogen engines hydrogen engine costs similar price diesel,True,0.0,1.0,0.0,0.0,neutral,True,hydrogen
36096,2021,2021-08-13,"@AustinTeslaClub @elonmusk @Tesla Should have asked him about hydrogen engines not fuel cells, jcb in the U.K. are making them for their heavy machinery instead of diesel, use existing equipment and engineers/mechanics! Run nine stop other than adding fuel, unlike their batteries that last 5 hours",   should have asked him about hydrogen engines not fuel cells  jcb in the u k  are making them for their heavy machinery instead of diesel  use existing equipment and engineers mechanics  run nine stop other than adding fuel  unlike their batteries that last 5 hours, asked hydrogen engines fuel cells jcb u k making heavy machinery instead diesel use existing equipment engineers mechanics run nine stop adding fuel unlike batteries last 5 hours,"['asked', 'hydrogen', 'engines', 'fuel', 'cells', 'jcb', 'u', 'k', 'making', 'heavy', 'machinery', 'instead', 'diesel', 'use', 'existing', 'equipment', 'engineers', 'mechanics', 'run', 'nine', 'stop', 'adding', 'fuel', 'unlike', 'batteries', 'last', '5', 'hours']",asked hydrogen engines fuel cells jcb making heavy machinery instead diesel use existing equipment engineers mechanics run nine stop adding fuel unlike batteries last hours,asked hydrogen engines fuel cells jcb making heavy machinery instead diesel use existing equipment engineers mechanics run nine stop adding fuel unlike batteries last hours,asked hydrogen engines jcb u k making heavy machinery instead diesel use existing equipment engineers mechanics run nine stop adding unlike batteries last 5 hours,asked hydrogen engines fuel cells jcb making heavy machinery instead diesel use existing equipment engineers mechanics run nine stop adding fuel unlike batteries last hours,asked hydrogen engines jcb u k making heavy machinery instead diesel use existing equipment engineers mechanics run nine stop adding unlike batteries last 5 hours,True,0.084,0.916,0.0,-0.296,negative,True,hydrogen
36638,2021,2021-08-24,"@DavidDuhme @alex_avoigt For something like a 20 tonne dump truck it's said it would need 6 tonnes of battery's and that adds a lot to the price. Given battery prices are rising too due to raw materials prices going up, maybe the likes of JCB's ICE Hydrogen engine will be fine.",  for something like a 20 tonne dump truck it s said it would need 6 tonnes of battery s and that adds a lot to the price  given battery prices are rising too due to raw materials prices going up  maybe the likes of jcb s ice hydrogen engine will be fine , something like 20 tonne dump truck said would need 6 tonnes battery adds lot price given battery prices rising due raw materials prices going maybe likes jcb ice hydrogen engine fine ,"['something', 'like', '20', 'tonne', 'dump', 'truck', 'said', 'would', 'need', '6', 'tonnes', 'battery', 'adds', 'lot', 'price', 'given', 'battery', 'prices', 'rising', 'due', 'raw', 'materials', 'prices', 'going', 'maybe', 'likes', 'jcb', 'ice', 'hydrogen', 'engine', 'fine']",something like tonne dump truck said would need tonnes battery adds lot price given battery prices rising due raw materials prices going maybe likes jcb ice hydrogen engine fine,something like tonne dump truck said would need tonnes battery adds lot price given battery prices rising due raw materials prices going maybe likes jcb ice hydrogen engine fine,something like 20 tonne dump truck said would need 6 tonnes adds lot price given prices rising due raw materials prices going maybe likes jcb ice hydrogen engine fine,something like tonne dump truck said would need tonnes battery adds lot price given battery prices rising due raw materials prices going maybe likes jcb ice hydrogen engine fine,something like 20 tonne dump truck said would need 6 tonnes adds lot price given prices rising due raw materials prices going maybe likes jcb ice hydrogen engine fine,True,0.075,0.72,0.205,0.5423,positive,True,hydrogen
37634,2021,2021-09-24,@james8745 JCB are now using Hydrogen engines on much of their equipment and Wrightbus who built the new London Routemasters are building Hydrogen powered double deckers. In both cases battery Electric vehicles are not an option, jcb are now using hydrogen engines on much of their equipment and wrightbus who built the new london routemasters are building hydrogen powered double deckers  in both cases battery electric vehicles are not an option, jcb using hydrogen engines much equipment wrightbus built new london routemasters building hydrogen powered double deckers cases battery electric vehicles option,"['jcb', 'using', 'hydrogen', 'engines', 'much', 'equipment', 'wrightbus', 'built', 'new', 'london', 'routemasters', 'building', 'hydrogen', 'powered', 'double', 'deckers', 'cases', 'battery', 'electric', 'vehicles', 'option']",jcb using hydrogen engines much equipment wrightbus built new london routemasters building hydrogen powered double deckers cases battery electric vehicles option,jcb using hydrogen engines much equipment wrightbus built new london building hydrogen powered double deckers cases battery electric vehicles option,jcb using hydrogen engines much equipment wrightbus built london routemasters building hydrogen powered double deckers cases vehicles option,jcb using hydrogen engines much equipment wrightbus built new london building hydrogen powered double deckers cases battery electric vehicles option,jcb using hydrogen engines much equipment wrightbus built london routemasters building hydrogen powered double deckers cases vehicles option,True,0.0,1.0,0.0,0.0,neutral,True,electric
38546,2021,2021-10-27,@RalphHosier Hydrogen combustion still creates nox which would need exhaust catalyst. It’s also not as efficient as fuel cell. JCB developing hydrogen engines for their diggers., hydrogen combustion still creates nox which would need exhaust catalyst  it s also not as efficient as fuel cell  jcb developing hydrogen engines for their diggers , hydrogen combustion still creates nox would need exhaust catalyst also efficient fuel cell jcb developing hydrogen engines diggers ,"['hydrogen', 'combustion', 'still', 'creates', 'nox', 'would', 'need', 'exhaust', 'catalyst', 'also', 'efficient', 'fuel', 'cell', 'jcb', 'developing', 'hydrogen', 'engines', 'diggers']",hydrogen combustion still creates nox would need exhaust catalyst also efficient fuel cell jcb developing hydrogen engines diggers,hydrogen combustion still creates nox would need exhaust catalyst also efficient fuel cell jcb developing hydrogen engines diggers,hydrogen combustion still creates nox would need exhaust catalyst also efficient jcb developing hydrogen engines diggers,hydrogen combustion still creates nox would need exhaust catalyst also efficient fuel cell jcb developing hydrogen engines diggers,hydrogen combustion still creates nox would need exhaust catalyst also efficient jcb developing hydrogen engines diggers,True,0.1,0.679,0.222,0.4019,positive,True,hydrogen
38643,2021,2021-11-02,JCB won the Dewar for its hydrogen engine. They say the first ICE engine was in 1803 and powered by hydrogen https://t.co/TmGoODwxFT,jcb won the dewar for its hydrogen engine  they say the first ice engine was in 1803 and powered by hydrogen ,jcb dewar hydrogen engine say first ice engine 1803 powered hydrogen ,"['jcb', 'dewar', 'hydrogen', 'engine', 'say', 'first', 'ice', 'engine', '1803', 'powered', 'hydrogen']",jcb dewar hydrogen engine say first ice engine 1803 powered hydrogen,jcb hydrogen engine say first ice engine powered hydrogen,jcb dewar hydrogen engine say first ice engine 1803 powered hydrogen,jcb hydrogen engine say first ice engine powered hydrogen,jcb dewar hydrogen engine say first ice engine 1803 powered hydrogen,True,0.0,1.0,0.0,0.0,neutral,True,hydrogen
38674,2021,2021-11-03,"""THERE IS AN ALTERNATIVE – IT’S HYDROGEN!
Engineers at JCB Power Systems, our engine factory in Derbyshire, UK, have developed the first hydrogen motor in our industry."" 

https://t.co/SGzqGs5vig", there is an alternative   it s hydrogen  engineers at jcb power systems  our engine factory in derbyshire  uk  have developed the first hydrogen motor in our industry     , alternative hydrogen engineers jcb power systems engine factory derbyshire uk developed first hydrogen motor industry ,"['alternative', 'hydrogen', 'engineers', 'jcb', 'power', 'systems', 'engine', 'factory', 'derbyshire', 'uk', 'developed', 'first', 'hydrogen', 'motor', 'industry']",alternative hydrogen engineers jcb power systems engine factory derbyshire developed first hydrogen motor industry,alternative hydrogen engineers jcb power systems engine factory derbyshire developed first hydrogen motor industry,alternative hydrogen engineers jcb power systems engine factory derbyshire uk developed first hydrogen motor industry,alternative hydrogen engineers jcb power systems engine factory derbyshire developed first hydrogen motor industry,alternative hydrogen engineers jcb power systems engine factory derbyshire uk developed first hydrogen motor industry,True,0.0,1.0,0.0,0.0,neutral,True,hydrogen
38682,2021,2021-11-03,@Mtthwpez @mototingle I’m sure someone will be sensible and develop hydrogen :). There was an article on the news about JCB developing a Hydrogen Engined digger (not a fuel cell but hydrogen I.C.E),  i m sure someone will be sensible and develop hydrogen     there was an article on the news about jcb developing a hydrogen engined digger  not a fuel cell but hydrogen i c e , sure someone sensible develop hydrogen article news jcb developing hydrogen engined digger fuel cell hydrogen c e ,"['sure', 'someone', 'sensible', 'develop', 'hydrogen', 'article', 'news', 'jcb', 'developing', 'hydrogen', 'engined', 'digger', 'fuel', 'cell', 'hydrogen', 'c', 'e']",sure someone sensible develop hydrogen article news jcb developing hydrogen engined digger fuel cell hydrogen,sure someone sensible develop hydrogen article news jcb developing hydrogen engined digger fuel cell hydrogen,sure someone sensible develop hydrogen article news jcb developing hydrogen engined digger hydrogen c e,sure someone sensible develop hydrogen article news jcb developing hydrogen engined digger fuel cell hydrogen,sure someone sensible develop hydrogen article news jcb developing hydrogen engined digger hydrogen c e,True,0.0,0.859,0.141,0.3182,positive,True,hydrogen
